1,Charlotte,Leather Goods
2,Charlotte,Fashion
3,Charlotte,Watches
4,Charlotte,Accessories
5,Charlotte,Shopping
6,Charlotte,Tires
7,Charlotte,Automotive
8,Charlotte,Auto Parts & Supplies
9,Charlotte,Wheel & Rim Repair
10,Charlotte,Health & Medical
11,Charlotte,Chiropractors
12,Charlotte,Auto Repair
13,Charlotte,Automotive
14,Charlotte,Body Shops
15,Pittsburgh,Plumbing
16,Pittsburgh,Home Services
17,Pittsburgh,American (New)
18,Pittsburgh,Pubs
19,Pittsburgh,Nightlife
20,Pittsburgh,Bars
21,Pittsburgh,Restaurants
22,Charlotte,American (New)
23,Charlotte,Restaurants
24,Pittsburgh,Hotels & Travel
25,Pittsburgh,Home Services
26,Pittsburgh,Hotels
27,Pittsburgh,Apartments
28,Pittsburgh,Event Planning & Services
29,Pittsburgh,Real Estate Services
30,Pittsburgh,Real Estate
31,Pittsburgh,Shopping
32,Pittsburgh,Mobile Phones
33,Pittsburgh,Food
34,Pittsburgh,Bakeries
35,Charlotte,Restaurants
36,Charlotte,Breakfast & Brunch
37,Charlotte,American (Traditional)
38,Charlotte,Burgers
39,Charlotte,Pizza
40,Charlotte,Restaurants
41,Charlotte,Asian Fusion
42,Charlotte,Chinese
43,Charlotte,Japanese
44,Charlotte,Restaurants
45,Pittsburgh,Food
46,Pittsburgh,Imported Food
47,Pittsburgh,Restaurants
48,Pittsburgh,Ethnic Food
49,Pittsburgh,Specialty Food
50,Charlotte,Delis
51,Charlotte,Restaurants
52,Charlotte,Fast Food
53,Charlotte,Sandwiches
54,Charlotte,Home Services
55,Charlotte,Interior Design
56,Charlotte,Furniture Stores
57,Charlotte,Home & Garden
58,Charlotte,Shopping
59,Charlotte,Jewelry
60,Charlotte,Shopping
61,Pittsburgh,Tapas Bars
62,Pittsburgh,Restaurants
63,Pittsburgh,Automotive
64,Pittsburgh,Car Wash
65,Pittsburgh,Automotive
66,Pittsburgh,Auto Repair
67,Pittsburgh,Pizza
68,Pittsburgh,Restaurants
69,Charlotte,Real Estate
70,Charlotte,Apartments
71,Charlotte,Home Services
72,Charlotte,Nail Salons
73,Charlotte,Beauty & Spas
74,Pittsburgh,Restaurants
75,Pittsburgh,Fast Food
76,Pittsburgh,Airports
77,Pittsburgh,Hotels & Travel
